publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Frontiers of Business Research in China ","1673-7326","1673-7431",2007-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/16737431",,"","","full text","take over journal from 2012","Brill"
"Frontiers of Economics in China ","1673-3444","1673-3568",2006-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/16733568",,"","","full text","take over journal from 2012","Brill"
"Frontiers of Education in China ","1673-341X","1673-3533",2006-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/16733533",,"","","full text","take over journal from 2012","Brill"
"Frontiers of History in China ","1673-3401","1673-3525",2006-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/16733525",,"","","full text","take over journal from 2012","Brill"
"Frontiers of Literary Studies in China ","1673-7318","1673-7423",2007-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/16737423",,"","","full text","take over journal from 2012","Brill"
"Frontiers of Philosophy in China ","1673-3436","1673-355X",2006-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/1673355x",,"","","full text","take over journal from 2012","Brill"
"Global Journal of Comparative Law  ","2211-9051","2211-906x",,,,,,,"http://booksandjournals.brillonline.com/content/2211906x",,"","","full text","no online content yet available","Brill"
"Global Responsibility to Protect","1875-9858","1875-984X",2009-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/1875984x",,"","","full text","","Brill"
"Grotiana","0167-3831","1876-0759",1980-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18760759",,"","","full text","vol 21 (2000) no digitilised","Brill"
"Hawwa","1569-2078","1569-2086",2003-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15692086",,"","","full text","","Brill"
"Historical Materialism","1465-4466","1569-206X",1997-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/1569206x",,"","","full text","","Brill"
"Hobbes Studies ","0921-5891","1875-0257",1988-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18750257",,"","","full text","","Brill"
"Horizons in Biblical Theology","0195-9085","1871-2207",1979-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18712207",,"","","full text","","Brill"
"Indo-Iranian Journal","0019-7246","1572-8536",1957-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15728536",,"","","full text","","Brill"
"Inner Asia ","1464-8172","2210-5018",1999-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/22105018",,"","","full text","","Brill"
"Insect Systematics & Evolution ","1399-560X","1876-312X",1970-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/1876312x",,"","","full text","","Brill"
"International Bibliography of Military History  ","0378-7869","2211-5757",1974-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/22115757",,"","","full text","","Brill"
"International Community Law Review  ","1871-9740","1871-9732",2006-01-01,8,1,,,,"http://booksandjournals.brillonline.com/content/18719732",,"","","full text","continuation of International Law FORUM du droit international & Non-State Actors and International Law","Brill"
"International Criminal Law Review ","1567-536X","1571-8123",2001-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15718123",,"","","full text","","Brill"
"International Journal for the Study of Skepticism ","2210-5697","2210-5700",2011-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/22105700",,"","","full text","","Brill"
"International Journal of Public Theology ","1872-5171","1569-7320",2007-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15697320",,"","","full text","","Brill"
"International Journal on Minority and Group Rights ","1385-4879","1571-8115",1993-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15718115",,"","","full text","","Brill"
"International Negotiation ","1382-340X","1571-8069",1996-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15718069",,"","","full text","","Brill"
"International Review of Pragmatics ","1877-3095","1877-3109",2009-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18773109",,"","","full text","","Brill"
"Iran and the Caucasus","1609-8498","1573-384X",1997-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/1573384x",,"","","full text","2000 vol 4 no digitised","Brill"
