publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Science","0036-8075","1095-9203",1997-03-01,275,5296,,,,"http://www.sciencemag.org/magazine",,"","","full text","Years (1997 to the Present)","American Association for the Advancement of Science"
"Science Signaling","1945-0877","1937-9145",2008-01-08,1,1,,,,"http://stke.sciencemag.org/",,"","","full text","","American Association for the Advancement of Science"
"Science Translational Medicine","1946-6234","1946-6242",2009-10-07,1,1,,,,"http://stm.sciencemag.org/",,"","","full text","","American Association for the Advancement of Science"
"Science of Aging Knowledge Environment","","1539-6150",2001-10-03,2001,1,2006-06-28,2006,10,"http://sageke.sciencemag.org/",,"","","full text","Access occurs through searching, browsing, and current awareness features combined with user-friendly graphical interfaces. Combine primary and review literature with more dispersed sources.  Specific electronic tools that facilitate entry of information into the underlying databases continue to be developed as part of the concept.","American Association for the Advancement of Science"
